time;X_value;Y_value;Z_value
Started:;окт. 16 2020;11:35:08:193; 
0,7256;-0,57469;-0,85446;-0,74551
0,7283;-0,58263;-0,87706;-0,75467
0,7350;-0,59302;-0,92715;-0,76323
0,7350;-0,61012;-1,01267;-0,77422
0,7350;-0,61012;-1,01267;-0,77422
0,7361;-0,62173;-1,07864;-0,78338
0,7376;-0,63089;-1,11163;-0,78338
0,7401;-0,65593;-1,16661;-0,79194
0,7421;-0,69075;-1,23686;-0,79438
0,7446;-0,71030;-1,27351;-0,78949
0,7456;-0,74879;-1,33154;-0,77178
0,7478;-0,79277;-1,42256;-0,73757
0,7556;-0,81171;-1,45005;-0,72046
0,7556;-0,86607;-1,49770;-0,65388
0,7556;-0,88196;-1,51297;-0,63006
0,7557;-0,89295;-1,51908;-0,60807
0,7576;-0,90822;-1,52824;-0,56775
0,7598;-0,91005;-1,53007;-0,54698
0,7638;-0,92105;-1,53435;-0,51216
0,7641;-0,91433;-1,55145;-0,48223
0,7657;-0,90639;-1,56000;-0,46818
0,7690;-0,89234;-1,57405;-0,44130
0,7726;-0,87096;-1,58322;-0,42908
0,7726;-0,85569;-1,58077;-0,40892
0,7750;-0,83309;-1,55817;-0,39121
0,7767;-0,82026;-1,54473;-0,37899
0,7781;-0,79216;-1,49586;-0,36494
0,7816;-0,76039;-1,44822;-0,34723
0,7823;-0,74146;-1,42012;-0,33318
0,7842;-0,70541;-1,36025;-0,30752
0,7856;-0,65899;-1,29611;-0,27942
0,7887;-0,63394;-1,26190;-0,26476
0,7968;-0,58019;-1,19471;-0,24032
0,7969;-0,52521;-1,12996;-0,21650
0,7969;-0,49833;-1,09697;-0,20489
0,7969;-0,44580;-1,04443;-0,18901
0,7995;-0,41525;-1,02000;-0,18413
0,8025;-0,36028;-0,98518;-0,17496
0,8025;-0,30652;-0,96319;-0,16885
0,8041;-0,27903;-0,95586;-0,17008
0,8057;-0,22955;-0,94364;-0,17252
0,8088;-0,20695;-0,93265;-0,17313
0,8147;-0,15747;-0,90088;-0,17679
0,8148;-0,13181;-1,13606;-0,18596
0,8148;-0,13181;-1,13606;-0,18596
0,8162;-0,23566;-1,40668;-0,22750
0,8176;-0,35844;-1,48914;-0,30813
0,8209;-0,39387;-1,39018;-0,36738
0,8216;-0,45924;-1,14095;-0,50727
0,8251;-0,52582;-1,09697;-0,55736
0,8262;-0,67121;-1,01878;-0,62639
0,8280;-0,79094;-0,86606;-0,67526
0,8335;-0,86729;-0,84774;-0,69420
0,8336;-1,02795;-0,70296;-0,73268
0,8356;-1,03895;-0,61316;-0,73085
0,8370;-1,03834;-0,54658;-0,72046
0,8380;-1,01512;-0,54169;-0,68320
0,8407;-0,94243;-0,61927;-0,64227
0,8422;-0,87157;-0,59728;-0,62150
0,8442;-0,71458;-0,55086;-0,56958
0,8462;-0,63578;-0,60400;-0,53232
0,8487;-0,49039;-0,77382;-0,46696
0,8548;-0,34867;-0,81780;-0,41015
0,8548;-0,21856;-0,78726;-0,35883
0,8548;-0,18068;-0,75733;-0,33623
0,8566;-0,14036;-0,70846;-0,30508
0,8582;-0,13365;-0,66692;-0,28675
0,8612;-0,10371;-0,51909;-0,26109
0,8616;-0,08539;-0,42441;-0,24216
0,8633;-0,06034;-0,28757;-0,20551
0,8656;-0,02858;-0,18067;-0,17679
0,8694;-0,00048;-0,11775;-0,15480
0,8745;0,06550;-0,00780;-0,10777
0,8745;0,17179;0,07345;-0,03324
0,8756;0,17179;0,07345;-0,03324
0,8758;0,25609;0,07345;0,02174
0,8774;0,29213;0,08200;0,04861
0,8798;0,37154;0,09055;0,10481
0,8821;0,43690;0,07406;0,15002
0,8841;0,45706;0,06062;0,16651
0,8856;0,49310;0,03741;0,19278
0,8883;0,51998;0,01053;0,20622
0,8957;0,52487;-0,00841;0,20561
0,8957;0,51387;-0,11409;0,15368
0,8957;0,51387;-0,11409;0,15368
0,8966;0,49860;-0,12692;0,13658
0,8981;0,45828;-0,16051;0,07794
0,9004;0,41674;0,02275;0,04923
0,9045;-0,20451;0,27442;0,00097
0,9053;-0,17946;0,82298;0,00524
0,9059;-0,16113;0,62811;-0,05462
0,9098;0,08627;-0,01146;-0,06134
0,9143;0,24998;-0,38837;-0,08822
0,9143;0,12414;-0,31445;-0,09983
0,9143;0,10704;-0,27658;-0,06501
0,9159;0,10642;-0,31506;-0,07661
0,9215;0,08382;-0,66203;-0,07234
0,9215;0,13514;-0,80986;-0,12609
0,9215;0,10581;-0,84713;-0,11876
0,9237;-0,02980;-0,80498;-0,15908
0,9285;-0,18374;-0,68280;-0,16702
0,9319;-0,22589;-0,69197;-0,16702
0,9329;-0,28514;-0,82208;-0,16641
0,9329;-0,36761;-0,89111;-0,14808
0,9344;-0,38410;-0,83246;-0,17252
0,9357;-0,41953;-0,70357;-0,13342
0,9377;-0,45557;-0,67975;-0,14381
0,9393;-0,54170;-0,67547;-0,10777
0,9427;-0,59363;-0,59545;-0,08822
0,9451;-0,61379;-0,52398;-0,07112
0,9470;-0,66449;-0,41402;-0,03691
0,9489;-0,69075;-0,39875;-0,02164
0,9557;-0,71763;-0,36210;0,02174
0,9557;-0,71091;-0,22160;0,08160
0,9557;-0,71091;-0,22160;0,08160
0,9568;-0,68892;-0,18495;0,09748
0,9575;-0,66510;-0,15440;0,12009
0,9597;-0,65105;-0,11836;0,12314
0,9615;-0,61745;-0,03467;0,13230
0,9645;-0,60340;-0,01146;0,13291
0,9655;-0,59118;0,00320;0,12314
0,9676;-0,57897;0,04107;0,12681
0,9765;-0,57102;0,06978;0,11764
0,9765;-0,56858;0,11132;0,11642
0,9765;-0,56858;0,11682;0,11703
0,9765;-0,54537;0,16508;0,11703
0,9810;-0,68098;0,23411;0,11092
0,9811;-0,69259;0,43142;0,09260
0,9823;-0,68037;0,43569;0,10237
0,9842;-0,59974;0,30191;0,07794
0,9870;-0,53132;0,24021;0,08404
0,9899;-0,45863;0,24205;0,06633
0,9936;-0,49650;0,29886;0,05411
0,9936;-0,49589;0,37277;0,05900
